HOME_GAME_ID,GAME_DATE,HOME_TEAM_ID,AWAY_TEAM_ID,HOME_TEAM_NAME,AWAY_TEAM_NAME,HOME_OFF_RTG,AWAY_OFF_RTG,HOME_EFG,AWAY_EFG,GAME_PACE,TOTAL_PTS,POINT_DIFF,HOME_WIN
22000002,2020-12-22,1610612747,1610612746,Los Angeles Lakers,LA Clippers,103.18061340401363,109.06355772846933,0.5246913580246914,0.5483870967741935,106.0,225,-7,0
22000001,2020-12-22,1610612751,1610612744,Brooklyn Nets,Golden State Warriors,110.54120976299964,86.75078864353311,0.5380434782608695,0.42424242424242425,113.6,224,26,1
22000010,2020-12-23,1610612739,1610612766,Cleveland Cavaliers,Charlotte Hornets,113.29588014981273,110.03861003861005,0.6091954022988506,0.5888888888888889,105.19999999999999,235,7,1
22000015,2020-12-23,1610612741,1610612737,Chicago Bulls,Atlanta Hawks,96.01181683899557,115.07052709725313,0.45977011494252873,0.625,108.03999999999999,228,-20,0
22000018,2020-12-23,1610612750,1610612765,Minnesota Timberwolves,Detroit Pistons,110.64593301435409,96.63222349789514,0.4943181818181818,0.5268817204301075,102.41999999999999,212,10,1
22000004,2020-12-23,1610612756,1610612742,Phoenix Suns,Dallas Mavericks,102.04081632653062,99.57048028114018,0.5506329113924051,0.4764705882352941,103.16,208,4,1
22000014,2020-12-23,1610612761,1610612740,Toronto Raptors,New Orleans Pelicans,91.42962689323974,104.82374768089053,0.5056179775280899,0.64375,108.03999999999999,212,-14,0
22000003,2020-12-23,1610612738,1610612749,Boston Celtics,Milwaukee Bucks,118.63088292493194,117.5670423630004,0.5643564356435643,0.5888888888888889,102.88,243,1,1
22000012,2020-12-23,1610612753,1610612748,Orlando Magic,Miami Heat,104.4362292051756,100.60172997367431,0.5340909090909091,0.5481927710843374,107.28,220,6,1
22000011,2020-12-23,1610612754,1610612752,Indiana Pacers,New York Knicks,110.2405247813411,100.82924990576704,0.5319148936170213,0.5294117647058824,107.94,228,14,1
22000013,2020-12-23,1610612755,1610612764,Philadelphia 76ers,Washington Wizards,104.4362292051756,97.16672720668362,0.5172413793103449,0.5352941176470588,109.16,220,6,1
22000017,2020-12-23,1610612763,1610612759,Memphis Grizzlies,San Antonio Spurs,109.25449871465295,118.2737450343084,0.5684210526315789,0.5578947368421052,109.84,250,-12,0
22000019,2020-12-23,1610612743,1610612758,Denver Nuggets,Sacramento Kings,107.4321944346601,110.0852272727273,0.5204081632653061,0.49019607843137253,102.43018867924528,246,-2,0
22000020,2020-12-23,1610612757,1610612762,Portland Trail Blazers,Utah Jazz,100.52271813429834,118.38989739542225,0.4673913043478261,0.5585106382978723,100.42000000000002,220,-20,0
22000009,2020-12-25,1610612743,1610612746,Denver Nuggets,LA Clippers,110.61040557148709,125.31068765534383,0.5246913580246914,0.6824324324324325,97.1,229,-13,0
22000006,2020-12-25,1610612749,1610612744,Milwaukee Bucks,Golden State Warriors,127.25931390630765,89.1891891891892,0.6666666666666666,0.3939393939393939,109.72,237,39,1
22000007,2020-12-25,1610612738,1610612751,Boston Celtics,Brooklyn Nets,93.72533543804262,127.27649006622516,0.41836734693877553,0.6381578947368421,99.0,218,-28,0
22000008,2020-12-25,1610612747,1610612742,Los Angeles Lakers,Dallas Mavericks,135.88026782197716,114.49621664675429,0.6648351648351648,0.572289156626506,101.0,253,23,1
22000005,2020-12-25,1610612748,1610612740,Miami Heat,New Orleans Pelicans,113.12678353037097,97.49303621169916,0.6133333333333333,0.46153846153846156,99.32,209,13,1
22000028,2020-12-26,1610612762,1610612750,Utah Jazz,Minnesota Timberwolves,100.65288356909686,108.49233071455293,0.43617021276595747,0.5099009900990099,108.6,227,-5,0
22000021,2020-12-26,1610612763,1610612737,Memphis Grizzlies,Atlanta Hawks,104.90820532034468,113.25659116227256,0.46774193548387094,0.5,107.24000000000001,234,-10,0
22000023,2020-12-26,1610612765,1610612739,Detroit Pistons,Cleveland Cavaliers,94.38451776649748,103.0595813204509,0.4897959183673469,0.5505050505050505,103.56413793103448,247,-9,0
22000026,2020-12-26,1610612741,1610612754,Chicago Bulls,Indiana Pacers,97.24770642201835,115.35622000738279,0.46153846153846156,0.6075268817204301,108.68,231,-19,0
22000025,2020-12-26,1610612752,1610612755,New York Knicks,Philadelphia 76ers,92.5925925925926,111.58886158886159,0.43373493975903615,0.5284090909090909,96.9,198,-20,0
22000029,2020-12-26,1610612757,1610612745,Portland Trail Blazers,Houston Rockets,111.18832522585129,117.66903249906613,0.553921568627451,0.5804597701149425,100.6188679245283,254,2,1
22000027,2020-12-26,1610612759,1610612761,San Antonio Spurs,Toronto Raptors,109.13426265590608,108.9866156787763,0.54,0.5364583333333334,106.82,233,5,1
22000024,2020-12-26,1610612764,1610612753,Washington Wizards,Orlando Magic,104.96850944716584,117.37089201877933,0.5526315789473685,0.5631578947368421,112.53999999999999,250,-10,0
22000022,2020-12-26,1610612766,1610612760,Charlotte Hornets,Oklahoma City Thunder,99.9252895031752,102.2897897897898,0.46774193548387094,0.5113636363636364,106.82,216,-2,0
22000030,2020-12-26,1610612758,1610612756,Sacramento Kings,Phoenix Suns,102.39567233384854,98.35752482811306,0.48255813953488375,0.4744897959183674,104.12,209,3,1
22000034,2020-12-27,1610612740,1610612759,New Orleans Pelicans,San Antonio Spurs,96.30503144654088,91.76970633693972,0.4095744680851064,0.4887640449438202,102.63999999999999,193,3,1
22000038,2020-12-27,1610612741,1610612744,Chicago Bulls,Golden State Warriors,109.73936899862827,108.22147651006713,0.6104651162790697,0.49038461538461536,117.91999999999999,257,-1,0
